"","rev.date","rev.sum","rev.rating","rev.title","rev.pros","rev.cons"
"81","Jul 21, 2015","Exceptional journey","5.0","Current Employee - UK Managing Director in London, England","Xero is a very rare kind of organisation; It's incredibly fast growing and fast paced and on a mission to create a globally significant business as it transforms the prosperity of hundreds of thousands of small businesses. You get to be part of an award winning team with the best product in its category, with natural levels of customer advocacy that are best in class. Xero is a great environment to develop yourself and...","Being inside such a fast moving and changing business isn't for everyone - if you don't like change then you won't like working at Xero. Fast growth also brings with it high expectations and a constant need to build, improve and stretch, so the demands on individuals and teams are certainly above average for a typical UK business which, again, won't suit everyone."
"82","Aug 10, 2015","Disappointed, unfairly treated","2.0","Former Employee - Facilities/Reception in Melbourne","On paper, it appears to be a fantastic company to work for and in many ways it was. Non corporate environment, casual clothes, free coffee, lots of free food and alcohol every Friday afternoon. There are *some* amazing people that work there.  Rod Drury is a top bloke, and he actively engages with staff on a regular basis. Rod, you the man.","This company is riddled with entitled Department Managers who treat the lower-ranked employees like their own personal slaves. 
There are tight cliques and a lot of camaraderie, so don't upset the wrong person or you will have many people siding against you. There are high levels of gossip and backstabbing, more than any workplace I have ever experienced previously. 
Marketing manager was overhead by myself talking..."
"83","Aug 21, 2015","Great Culture, Great Teams, Awesome Product.","5.0","Current Employee - Account Manager in Brisbane","The best thing about working at Xero is that it is a product focused company. This dedication to creating a fantastic disruptive product makes working for Xero an exciting and life changing experience. Xero is a product that Accountants, Bookkeepers and Small Business people love. This has made my job as an account manager far more enjoyable and it allows me to help my partners improve their practices, rather than apologising...","Xero is company that has grown very quickly and is attempting to grow on a global scale. At times change has been difficult and the expectations and responsibilities within the same role have changed so dramatically that it has become a completely different role. This forced me to grow and adapt within the role, but it did involve me letting go of my past expectations and instead going with the flow. 

Another thing..."
"84","Sep 2, 2015","Xero Sales Position","3.0","Former Employee - Small Business Specialist in Denver, CO","Most of the people that I worked with were great.  The office had many perks, catered lunches, ping pong table, pool table, xbox....everything that a start up has these days","Upper management has no idea about sales work flow or generating revenue for the company."
"85","Oct 14, 2015","Senior Software Dev","5.0","Current Employee - Senior Software Developer in Wellington, Wellington","Great opportunity to work with a team of committed, interesting and exciting team players. Work is fun as are the side benefits - dragon boating was fun, the ship it days especially so. individuals feel part of a global team. Inclusive environment with a diversity to the fore. Feel like the company likes the staff and doesn't see them as transient assets. A lot of promotion from within.","You need to be flexible in time and work (it is global there re lots of timezones) which is good for some , less so for others - it is no longer a startup but there is still a lot of excitement as it develops globally.  You need to fit into a dynamic environment which suits me but it is not a 9-5 clock watching environment (which is good!)"
"86","Oct 16, 2015","Awesome employer","5.0","Current Employee - Product Manager ","Work culture and ownership in everything we do. U are trusted with everything you do","Very little down time.. On the go always.. But its fun !"
"87","Oct 22, 2015","It's not what you know, but who you know.","1.0","Former Employee - Anonymous Employee ","Love the modern office, equipment, technology and perks eg: casual wear, free fruits, coffee, soda, games, pool table...etc.","As the saying goes, ""it's not what you know but who you know"". The manager I had was not qualified for the role, given that she had no prior experience as a manager, but I knew she was close with the upper management people. She set unrealistic expectations, hid behind fake smiles in silence (I had asked specifically on my work performance), then ambushed me with HR mediation out of the blue with no prior warning, saying..."
"88","Nov 2, 2015","I have never loved my job till now","5.0","Current Employee - Senior Talent Specialist in Wellington, Wellington","The people, I have never worked in a place where everyone is so awesome and focused on being the best without compromising being human, The transparency of the business and the ability to get things done is unmatched. I actually wake up excited to come to work. The social involvement and desire to know me as a person not just as a resource.","There really are none. There are challenges like any business but they are easily overcome here."
"89","Nov 2, 2015","Sr. Account Manager","4.0","Current Employee - Senior Account Manager in San Francisco, CA","Cool culture, great product. Great people","Unrealistic quotas, strategy changes constantly.  US market far behind rest of world re: adapting technology"
"90","Nov 6, 2015","Awesome and the best is yet to come","5.0","Current Employee - Senior Account Manager in Milton Keynes, England","Modern, open, inclusive, high performing culture
Strong leadership
Very smart and talented team
An excellent environment to achieve at a high level
Successful company, with bags of opportunity ahead of it

At Xero you feel you're contributing to something that's actually making difference to people's lives. There's a real feeling that we're all building something truly special - very rewarding work.","A fast moving company naturally brings with it a degree of pressure to deliver and adapt quickly to change. Some will thrive in this environment, others will struggle.

Needs self-discipline to maintain work/life balance at times."
"91","Nov 10, 2015","A refreshing change!","5.0","Current Employee - Learning Experience Specialist in Milton Keynes, England","I could say the pool table, free snacks, table tennis, posh coffee machine, retro arcade machine or state of the art office make Xero a great place to work. But actually #beautiful offices are just a small part of why Xero are leading the way. I joined Xero 4 months ago and previously worked for a company that had most of the above, but none of the below -

1) Xero have values in place that shape the culture of the...","For those that have not previously worked in a Global organisation, time zones can be frustrating.

The on-boarding journey needs polishing, but I am fully prepared to tackle that!"
"92","Nov 18, 2015","poor culture","1.0","Current Employee - Anonymous Employee ","location and views of the bay","poor upper management
does not attract talent in executive positions
high turn over
people are overall unhappy"
"93","Dec 14, 2015","Marketing","3.0","Former Employee - Anonymous Employee ","Good people, great offices, good benefits","Lack of responsibility, lack of communication between offices, high turnover"
"94","Dec 20, 2015","Great place to work","5.0","Current Employee - Anonymous Employee ","In New Zealand, Xero is hands down one of the best places to work. Full of friendly, helpful, super talented people. You can try your hand at lots of different things - lots of room to grow. My job was pretty new so i got to get stuck in and make it my own - you're not constrained by a certain way things have been done before.","It's growing really quickly - and trying to build processes etc at the same time so sometimes getting things done can be a bit clunky."
"95","Dec 20, 2015","Great people, great product, great company!","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","The people and the culture at Xero is great. It's a very open and honest environment, where people work hard to get things done. We also like to have some fun along the way!","We are currently in 3 different buildings, but that is going to change soon!"
"96","Dec 20, 2015","Great place to be","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","Xero is one of the few New Zealand companies where you get genuine exposure to other markets, which is a great experience as well as paving the way for international careers. There are always opportunities advertised for career progression, very facilitating to people who want to travel and work. There are a lot of great people that work here and there is still the culture of flat structure where senior people are more...","Growing at an unsustainable rate, deteriorating culture and often at the expense of exceptional employees. Bit of uncertainty on recent senior management changes."
"97","Dec 27, 2015","Great product, great company","5.0","Current Employee - Software Engineer in San Francisco, CA","•	Fun, talented, smart coworkers
•	Good compensations, perks, decent benefits
•	""New Zealand culture"" open, value focused, Friday afternoon happy-hours...
•	Company invests a lot of time and money into making the development process run smoothly
•	Awesome office spaces and views of the bay
•	Good mix of fast-paced self-directed teams, but with the support and backing of a larger more stable company. ""Start-up like...","•	Less Kiwis and Aussies around the office than there use to be
•	No holiday bonuses / stock bonuses vest slowly
•	Still some heavily handed policies from overseas HQ"
"98","Dec 28, 2015","Awesome!","5.0","Current Employee - Anonymous Employee ","Great atmosphere - everyone is willing to help and keen to discuss issues / solutions to anything. Great internal team management with technical leads that have in depth experience and a lead fro the front style. Really flexible work bounds i.e. very flexible around start / finish times, dress code etc. without slipping on work standards","Growing very fast so can be hard to keep track of everyone and who does what. Teams often going through big changes in workflow / structure that can be a little disruptive but kid of exciting and new at the same time!"
"99","Jan 4, 2016","Great place to work","5.0","Current Employee - Project Manager in Melbourne","Xero is a great place to work - the staff are friendly, management listen to you and it has an awesome work life balance.","The rapid growth would be the only con I can think of and that is because its left gaps that need to be filled often faster than they can be worked out. But thats just a time thing and easily sorted as more staff come onboard"
"100","Jan 17, 2016","Very happy to move on","2.0","Former Employee - Anonymous Employee ","Some really cool people. CEO great guy. Great product. Looks good on a resume. New offices. Social club organises great events.","Depending on your department and whether you're in one of their newer locations, forget about having a personal life or any sort of balance - you'll be exhausted. Probably better for young 20-somethings who are happy to give their soul and all their time. Don't even think about it if you have a family. The expectation to always be ""on"" is huge. You can be inexperienced and get into management if you know the right people...."
"101","Jan 17, 2016","Smiling on a monday","5.0","Current Employee - Senior Software Engineer in San Francisco, CA","Expect to work with the most dedicated and intelligent people you've ever met.  Opinions are considered and not ignored. Code reviews are thoughtful and respectful, and discussions are plain, open, and honest.  

The work that I do has a purpose. Every day I know not just what I'm working on, but I have a clear vision on how that will help our customers.  Once we ship, I can watch the impact in real time and then work...","Personally - I don't have any.  Well.. hold on.  I realize that sounds fishy.. so here goes: Someone keeps ordering plain oatmeal for the snack cabinet . No one likes plain oatmeal!"
"102","Jan 19, 2016","Future looks good","4.0","Current Employee - Anonymous Employee ","In the Australian office there's lots of smart and nice people. Australian Leadership give us plenty of opportunity to get noticed. Everyone is friendly. 

Great place to work. Fantastic office space. Incredible people. Cool perks. Amazing product. Incredible future assuming we innovate in the right way.","Lots of people take the flexible culture for granted. There's some laziness creeping in and in some parts there's little accountability. Makes it hard sometime. Executive leadership not removing roadblocks where they can / should. Effective decision making process lacks and this inhibits speed of execution. Far too many ego's...w. certain product teams getting away with murder (or feature for the sake of feature...that's..."
"103","Jan 22, 2016","Marketing Mgr","4.0","Current Employee - Marketing Manager - Contract in San Francisco, CA","Great facilities, very smart colleagues and managers, good communications","Location in Downtown SF is not very convenient.  Often takes a half hour just to get to the freeway entrance."
"104","Jan 26, 2016","Stand Up Employer","5.0","Current Employee - Developer ","The company is filled with a very diverse and talented team. Culture and values are kept at the forefront and are drilled in early and often and the senior management really does make an effort to adhere to them. Effort is made to make life easier for the employees within reason, work from home or remote when needed. Flexible hours. Great facilities.

Exciting young company still getting a lot built and shipped. Fun...","Growing pains with all of the new people and systems. Some inefficiencies are still being sussed out. Adjusting to new senior management. Seems to be a lot of change in that space."
"105","Feb 11, 2016","Terrible management but potential as company","2.0","Former Employee - Sales Representative in Denver, CO","Fun work environment, free food and catering with a great work space","VERY young culture. If your under 25 you may like it here. Management is cocky and listens to no one. company seems to lack direction"
"106","Feb 26, 2016","Disappointing.....","2.0","Former Employee - Anonymous Employee ","Growing company. Free snacks and lunches. Fun work environment and great coworkers! Happy hours and the occasion celebration after a release along with fun ping pong tournaments.","Potential to move up is limited by who you are associated with. Nepotism is very apparent as well as the constant chain of hiring everyone's friends without proper qualifications or education. 
Product development needs more QA prior to feature release. Communication across teams is non-existent. Pay is horrible! Promised rapid career advancement along with significant salary increase....laughable. Annual salary increase..."
"107","Mar 4, 2016","Scatterbrained direction and managment","2.0","Former Employee - Anonymous Employee ","Great benefits, perks & location etc.","Constant change in upper management and all the way down the ladder. No real stability unless you are part of the F.O.B."
"108","Mar 5, 2016","Great people, great work","5.0","Current Employee - Developer in Auckland, Auckland","I work with some very intelligent and diligent people who are passionate about what we're doing. The work I do is challenging, interesting, and important. The working environment is great, everyone is friendly and works well together.","Nothing major comes to mind. There have been a few growing pains as we hire more people and expand office space, having to shuffle people around."
"109","Mar 8, 2016","Hipocritical culture and underqualified managers","2.0","Current Employee - Anonymous Employee in Auckland, Auckland","Great work/life balance. Cool offices and facilities. Personal budget for education. Growing cloud company.","Hipocricy is a part of the culture. Salary is considered as the least important motivator and consequently salaries are pretty average if not low. The opportunity to solve challenging problems and work in awesome company is considered to be already a reward, so you don't need more money in addition to it... A lot of meaningless positions are being created and many weird promotions are happening while people who push everything..."
"110","Mar 9, 2016","Big company with a big heart","5.0","Current Employee - QA Analyst in Auckland, Auckland","* Lots of opportunities to try different roles in the company, because it's still growing even bigger there's new teams and roles opening up all the time

* Management actively keeping the culture the same as it was when it was a small, passionate, startup company - valuing highly it's people and their skills, ownership over your work, and beautiful software

* Great office to work in with quite a few bonuses - free...","* No free parking in Auckland, though there are public spaces available for a bit of a walk

* The challenge of being in a market that's so competitive, is the company needs to move fast and often make big changes to redirect their efforts to meet what customers want.  That might mean changing teams every now and then, or parking software to work on something more urgent.  This can feel a bit frustrating in the short..."
"111","Mar 10, 2016","Needs some maturity","3.0","Former Employee - Anonymous Employee ","Xero has some of the smartest people you will work with and you will also get your hands dirty with new technology. I definitely got to push my technical boundaries with this job and will value the experience I gained there. 

Xero also genuinely cares about its employees. They make great effort in managing work/life balance and providing tangible benefits to working for the company. This is a rarity in a tech company...","Xero is a company that acts like a teenager: They want to play with the big kids, but they lack the maturity and discipline to do so. This is most evidence by the disconnect from the Wellington HQ and other offices around the globe. Policies and processes hinge on HQ's involvement and, while they try to provide autonomy to other teams, this falls over as because a lot of work still needs to be approved by Wellington's..."
"112","Mar 14, 2016","The last job you'll ever have","5.0","Current Employee - Customer Experience Specialist in Wellington, Wellington","There are so many pros of working for this company. First things first, the work is ever changing, interesting, challenging, and engaging. However, if that isn't enough, you can rest assured that with every passing minute, you will feel as valuable, as wanted, and as much a part of the team as that last piece of brownie at your Nana's house. The employee benefits are too numerous to list, but take comfort in the fact...","Xero take the stance of ""A's Hiring A's"". This is perfectly fine except in some cases, the salary of some roles doesn't reflect the value of the individual in that position."
"113","Mar 16, 2016","Great company","4.0","Current Employee - Sales in Milton Keynes, England","Incredible benefits and rewards to the sales team. No hierarchy of management. Immediate manager offers full support and training when needed. Xero is a company that cares for their customers and their staff, and this really shows. It's a company you can be proud to say you work at as everyone loves Xero. I'm lucky to be in a relatively new team so I get to take ownership and really make a difference. The offices are...","Salaries could be better, although they are not extremely low. Xero is a company i'd like to work for , for a long time but cannot see this being feasible on my standard salary. Sales targets are unrealistic (not many, if any, people hit them) so can be demotivating, and sometimes makes you fear for your job (if you're in sales). There are a couple bad eggs in the office."
"114","Mar 24, 2016","Excellent","3.0","Former Employee - Developer ","Good wokring opportinity. Helpful colleauges","Management. Some times decision making is slow."
"115","Apr 11, 2016","Great company","5.0","Current Employee - Anonymous Employee ","Great culture, growing business and passionate about making a change","Number of job opportunities are growing but, not numerous."
"116","Apr 26, 2016","Fantastic company to work for","4.0","Current Employee - Anonymous Employee in Melbourne","Great culture and value, ambitious company that has a global presence. Everyone that works there is inspired and passionate in what they do.","No clear career progression path, its up to you to create your opportunities. Not a lot of learning and development opportunities provided."
"117","May 8, 2016","CX Specialist","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","Fairly straight forward job with some great people and awesome office to work in","Have to deal with the occasional stuborn or annoying person"
"118","May 12, 2016","Great place to work","5.0","Current Employee - Anonymous Employee ","Company is going places and enjoying global success.  Lots of opportunity for career growth and the work is great. Love it.","Management has a hard time focussing on what's important. Wants results in product but could and should invest more there than it does."
"119","May 14, 2016","Software Developer","3.0","Current Employee - Software Engineer in Melbourne","There are quite a number of talented people and you are allowed a considerable amount of flexibility and autonomy. To be part of a high profile and fast moving company can be exciting.","Leadership team are somewhat dysfunctional and do not walk the talk. Almost all words have been fluff. A considerable number of talented and senior employees have departed the Melbourne office in quick succession, which speaks volumes."
"120","May 18, 2016","Fantastic Graduate Programme","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","Great support network
Everyone wants to be here, they don't just turn up to a ""job"" every day. 
The culture and values of the workplace make working here fun and enjoyable
Plenty of flexibility for growth and change across teams","There isn't a pool table in the HQ office"
"121","May 23, 2016","Great culture but underwhelming exec management","4.0","Current Employee - Anonymous Employee ","Xero has a great culture which trusts its employees and gives them space and authority to do their best work. For the most part bureaucracy is kept in check (with a couple of exceptions in HR and Finance) and doesn't get in the way of people.

Xero's customers overall really like its products and everyone works together to do the right thing for Xero and customers. Politics doesn't feature all that much in the organisational...","Xero has made some poor senior hires recently. Generally people that blow hard on their own trumpet. It seems there are unrealistic expectations these people will enter the organisation, wave a magic wand and all problems will be solved. but there are no quick wins meaning these people either get turfed out early for not getting instant results, or, they manage upwards and score brownie points to secure their own existence..."
"122","May 25, 2016","Great place to work","5.0","Current Employee - Anonymous Employee ","Great open culture, everyone has a willingness to listen and learn. There is a real chance to make a difference to shape the future of the company.","Feature focus can sometimes mean making sacrifices in other areas. But the situation is improving with more and more smart people joining."
"123","Jun 6, 2016","Digital Marketing at Xero","4.0","Current Employee - Anonymous Employee ","Great people, innovative, ambitious, great coffee, great career progression.","Going through growth pains due to only being 9 years old."
"124","Jun 8, 2016","Marketing Manager","5.0","Current Employee - Marketing Manager in San Francisco, CA","Flexible work 
Mac devices 
Learning opportunities 
High growth","Fast paced
Pressured environment 
Young company"
"125","Jun 21, 2016","Account Manager","5.0","Current Employee - Anonymous Employee ","Great office environment. Fairly young company and very forward thinking. Overall a great place to be and I love coming into the office.","Benefits are still a little expensive, but I think that's normal for a smaller company. Don't have anything bad to say!"
"126","Jun 22, 2016","Fast paced development and very innovative company","4.0","Current Employee - Anonymous Employee in Auckland, Auckland","- development is fast paced (in a good way) so the tools, processes and technologies are always keeping up with the latest IT trends
- lots of new things to learn, and people are encouraged to share ideas and be innovative
- flexible working hours and work life balance 
- you have the flexibility on how you want to accomplish tasks, no micro management","- benefits and perks could be better
- Auckland office is not as nice as Wellington Offices, especially the development office"
"127","Jun 27, 2016","A good place to grow","4.0","Current Employee - Business Analyst ","Good work environment. Engaging and open culture with relevant values system. Room to grow and move up within org.

Senior management seem to share strategy and give high level sense of direction to business. Feel involved in moving org forward.","Very high expectations of output have lead to impacts to work/life balance if you don't self manage.

I think starting salaries for some ground floor positions are quite low, but due to ability to move up within org the power is still with the individual."
"128","Jun 28, 2016","Growing pains","2.0","Current Employee - Anonymous Employee in Wellington, Wellington","The tactical teams at Xero are made up of some of the nicest folks around. You'll use Google Hangouts to bond regionally and internationally - helping form critical relationships.","Company is undergoing an extensive shake-up in the US. Some departments are sheltered, whereas others, like Marketing, have yet to find stability."
"129","Jul 3, 2016","Ambitious but disconnected from reality","3.0","Former Employee - Anonymous Employee ","A big team of excellent thinkers is nothing Xero is short of. Over the years Xero has done well to employ enthusiastic individuals hungry for the challenge of delivering a great product experience.","In general there was too much drinking the Xero Kool-Aid, ignoring competition and ultimately a lack of focus amongst certain teams. Questionable innovation seems to take place and the product seems to be the 'same but different' to other accounting tools with little in the way of meaningful business insight on offer."
"130","Jul 5, 2016","Largely doing the right things","5.0","Current Employee - Anonymous Employee in Auckland, Auckland","A good environment, smart co-workers, and also quite dynamic, things will change constantly on you.","If you don't like change, this won't be the place for you. The rapid growth has necessitated a lot of it, and for the most part you can see the benefits of it."
"131","Jul 7, 2016","Great place to work and grow","5.0","Former Employee - Anonymous Employee ","Friendly people who also love the company 
Amazing Culture","Learn to be a self starter"
"132","Jul 10, 2016","Developer","3.0","Former Employee - Software Developer ","Great culture for an IT company. If you are a die hard geek and always want to try out cool things, Xero certainly has a place for you. Regular team event is pretty awesome. it has a relaxing culture, Xero trusts you as an adult. Xero has some of the best programmers in New Zealand, you will learn a ton even if you are a senior developer already.","if you are one of those developers who works hard, but are not good at seeming smart even if your IQ is high with a University qualification, love to help people, tutor junior developers, and especially if English is your second language hence you are shy to express yourself, then basically you will get stuck in the same position no matter how good you do your job

Xero does promotion in an awkward way, on one hand,..."
"133","Jul 26, 2016","It's a true Kiwi product you can stand behind","5.0","Current Employee - Anonymous Employee ","New Zealand Made and with innovation in every fiber of it's being. They look after us here because they know it takes a team to build something great!","We're so busy keeping up with the growth of the company!"
"134","Jul 26, 2016","Great place to work","5.0","Current Employee - Anonymous Employee in Wellington, Wellington","Company builds a great product that makes life easier for a lot of people.
I have a lot of autonomy in my role and the freedom to work how I want to work.
Super smart people to work with.
My roles allows good flexibility in relation to hours and working location.
Can't think of another NZ company I'd rather work for.","Not a whole lot of downsides. A lot of growth which has meant some growing pains. Company hasn't yet made a profit so while salary is competitive there aren't a lot of additional benefits compared to some other companies."
"135","Jul 27, 2016","The best employer in my 11 year tech industry career","5.0","Current Employee - QA Analyst in Wellington, Wellington","Have a powerful well articulated company vision
Flexible working arrangements
Actively encourage self development, innovation and collaboration
Empower staff to self develop
Fun!","The product itself is so dynamic that sometimes it is difficult to co-ordinate work between teams, to avoid conflict and to best utilise resources."
"136","Jul 27, 2016","Xero","4.0","Current Employee - Anonymous Employee ","Growing company with an exciting future with new markets to win.
The culture is well defined and the company does care very much about the well being of their employees while also pushing them to achieve greater things.

Manager feedback is very regular, honest and timely. 
Staff events such as hackathons and social clubs life the morale of the company and Xero is not scared to invest time and effort into events like...","Xero is a growing company; there are pains and sometimes this means that it is not the ideal fit for everyone. However this does mean there is opportunity for passionate people to join the team; put in the hard work and see some amazing results."
"137","Jul 28, 2016","Talent Specialist","5.0","Current Employee - Talent Specialist in Milton Keynes, England","Fun, Vibrant, Human, Exciting, Passionate","There are no downsides to life at Xero"
"138","Jul 31, 2016","An awesome place to work!","5.0","Current Employee - Senior Payroll Specialist in Wellington, Wellington","Tons of autonomy and freedom to explore new ideas/methods of getting things done.
Lots of support in place for employees to strive for great performance and results.
Massive encouragement for employees to ""own"" the issues and drive solutions with the right level of business support.
Empowerment of employees to find their own development and career path.","The speed of development and change at Xero can sometimes make objectives/goals a little unclear.
At times change is happening rapidly and the supporting business units have to play catch up."
"139","Aug 11, 2016","Infrastructure engineer","3.0","Former Employee - Anonymous Employee in Wellington, Wellington","Nice office and environment, nice co-workers , free fruit and soft drinks over all Xero does have a lot of smart and easy to get along with","Big corporate that try's saying it's got a startup feel, you are just another number , lti shares a joke, lower salary than market, high churn rate"
"140","Aug 23, 2016","Best job of my career so far","5.0","Current Employee - Anonymous Employee ","- Working with and learning from very smart people
- Working at a scale that few other companies in NZ can provide: shipping code to hundreds of thousands of users
- Positive, fun culture. The company's values are lived out.
- Lots of opportunities within the business as the company grows
- Modern tech stack
- I've seen numerous people within the company upskill to different roles, and others move to other cities/countries...","- Your experience of Xero can vary considerably depending on which team you're in, what project or product you're working on, and which office you work in. Some teams are very feature/deadline driven; others are more empowered to focus on quality and do the job right. Some teams have too many meetings and agile rituals.
- Legacy code can be a drain, and there is a lot of it hanging around. Progress is being made, but..."
"141","Aug 26, 2016","Contractor","5.0","Current Employee - Anonymous Employee ","Fun and exciting company to work with and grow with.","None to speak of had a great onboarding experience"
"142","Oct 5, 2016","Great Company! Great Culture","4.0","Current Employee - Anonymous Employee in Melbourne","Live by the values, all employees are treated with utmost respect. Praised even for the smallest of achievements.","Career progression initiatives could be better."
"143","Oct 9, 2016","Good working environment, uncompetitive pay","4.0","Former Employee - Anonymous Employee ","Surrounded by excellent talent in an open, collaborative environment.  Development teams enjoy autonomy, and freedom to express new ideas.  A friendly, casual office environment, with good facilities.","Too many parts of the business competing with each other for the direction they want to take, resulting in very slow progress, with little achieved at times.  Remuneration could be more competitive."
"144","Oct 9, 2016","Best place I have ever worked!","5.0","Current Employee - Anonymous Employee in Melbourne","Jump out of bed the mornings super keen to go to work for many reasons! Challenging, interesting and rewarding work, super talented and 'can do' attitude people, and fantastic office spaces which are privilege to work in. Particularly excited by the myriad of opportunities for career growth in what is a fast growing global company.","None that I can think of."
"145","Oct 10, 2016","Innovative, fast paced and fun!","5.0","Current Employee - Anonymous Employee ","The thing I love most about Xero is the people. Everyone is really open, welcoming and engaging. Despite the rapid growth and now being a pretty big global company, it's still nimble and there's no red tape or bureaucracy like some other organisations. There's lots of leeway to try new things and work on innovative projects. When I speak to people in other organisations it really hits home how special Xero is and how...","Not really any I can think of - if you are the sort of person who prefers to work in a slower or very process driven environment you might not love the pace at which Xero operates."
"146","Oct 12, 2016","Great people","4.0","Current Employee - Anonymous Employee ","Awesome people to work with and everyone seems to be working towards the same goals.  You can always find someone willing to help you out or teach you what you need to know.","Not many, the pace of change is fast, but it keeps things interesting"
"147","Oct 13, 2016","Love working at Xero","5.0","Current Employee - Anonymous Employee in Melbourne","The people make this such a great place to work. Everyone is  friendly, people are smiling and always happy to help out. Open plan offices and great facilities make for a fantastic work environment. The passion people have for the industry and small businesses is amazing and drives the success of Xero. People believe and live the values in their day to day work often #ing them in communications. I actually enjoy coming...","Personally I don't have any. Compared to my previous workplaces this is by far the best place and company I have worked for."
"148","Oct 18, 2016","Xero","4.0","Former Employee - Anonymous Employee ","Fun, laid back and lots of opportunity for growth","Lost culture and values with growth. Became the large corporate they said they'd never be"
"149","Oct 27, 2016","Not great, probably OK if you've never had a job before.","1.0","Former Employee - IOS Developer in Wellington, Wellington","Reasonably proficient onboarding experience, and HR do a great job of selling you the job before it actually starts. Free fruit.","Much like the Xero customer experience, once you're actually in, that's where they stop caring as much. There are two kinds of people working there, those who want to help you progress, but are too busy & those who pretend to want to help you but don't actually care.

Extremely low pay rates within CX teams compared to Product. There's little opportunity for career progression outside of Product teams. Some reasonable..."
"150","Nov 8, 2016","Xero","3.0","Former Employee - Anonymous Employee ","Moves at pace
Well paid
Social enviroment","Too many management changes
Teams double up on the same work
Countries act too independently of each other"
"151","Nov 10, 2016","High Turnover all the way around","1.0","Former Employee - Anonymous Employee in San Francisco, CA","Great office space with amazing view","Forever changing leadership, I can't even count as many as have come and went.  It's a JOKE!!  The environment is extremely juvenile and toxic......if your part of the in group you will probably be fine but the minute your not, your gone and treated poorly.  Pay is definitely under industry standard and bonus, what bonus?  Extremely high turnover!!!"
"152","Nov 23, 2016","Good place for kids that need training wheels","2.0","Current Employee - Anonymous Employee in Wellington, Wellington","Product is simple to understand
People are friendly","You get bored after three months because your role is totally not challenging.
A lot of people seem to be coasting looking for opportunities on the outside
If you're ambitious, smart and learn quickly you'll burn through this place in a few months"
"153","Dec 8, 2016","Best company in Denver","5.0","Current Employee - Anonymous Employee ","Great culture, management really encourages growth","Location, nothing bad to say"
"154","Dec 12, 2016","Great place to work","4.0","Current Employee - Anonymous Employee ","Great place to grow your career - Xero empowers you to carve you own path. Positive, friendly and casual working environment","Insecure managers and unfortunate middle management is starting to creep in"
"155","Dec 13, 2016","A start up with structure","5.0","Current Employee - Anonymous Employee ","I love working for a company that is moving at that infamous start up pace, yet is managed like a big corporate. I think it's really cool that Rod the CEO is so involved in the company, it's a sincere passion that probably comes from being a founder. All the executives are really approachable and that filters down the company. The open-plan offices make collaboration flow fluidly. There's something to be said about working...","It's easy to get lost in the coding jargon and not entirely understand what each product feature means."
"156","Dec 15, 2016","Marketing Manager","5.0","Current Employee - Anonymous Employee in Melbourne","Awesome team, fast paced, easy to market","Not a lot of processes but that makes it fun sometimes"
"157","Jan 21, 2017","Beautiful Accounting Software Turned Toxic!","1.0","Former Employee - Team Lead in Wellington, Wellington","Rod is an amazing CEO. He is a true inspiration.

AMAZING in the earlier years. A couple of great developers are still left, however they will probably scarper after the upcoming share vestment.

The Market Lane building is nice to work in.","Wellington HR is vicious. I have NEVER experienced an HR department quite like this one. They isolate an employee, launch their attack and wear them down to the brink of suicide. I have sadly watched them do this too many times to some really amazing Xero employees.

Wellington middle management is inexperienced and under-qualified in management. This is a result of nepotism within the company. Employees with far more..."
"158","Jan 26, 2017","Great fast-paced software company","5.0","Current Employee - Anonymous Employee in Denver, CO","It's a fast-paced business that stays true to it's founding values.","Too much opportunity to keep up with."
"159","Feb 1, 2017","Great place to work!","5.0","Current Employee - Anonymous Employee in Milton Keynes, England","Great place to work all of the time","No Cons, this is a great place to work"
"160","Feb 6, 2017","Unlimited Opportunity","4.0","Current Employee - Anonymous Employee ","Immense opportunity to build a career at any stage and in any area of the business - marketing, sales, dev. The constant growth of the company across a number of regions means there is also the opportunity to work in a range of markets UK, US, Australia, NZ and Asia.","Always more to do than hours in the day."
"161","Feb 8, 2017","Once in a generation company","5.0","Current Employee - Anonymous Employee ","The culture and people are awesome, the mission to change the lives of small business owners forever is one that everyone is extremely excited about","With any company who is growing as fast as Xero there are growing pains but nothing that can't and won't get better and better."
"162","Feb 9, 2017","IT Business Analyst","2.0","Former Employee - Anonymous Employee ","Got to work at home for 4 years.","Low pay, low morale, forced time off without pay, no raises."
"163","Feb 16, 2017","Super stoked to be working here","5.0","Current Employee - Senior QA Engineer in Wellington, Wellington","Really passionate colleagues, zero blame culture, everyone is super supportive of innovation and great ideas. Everyone is super nice. 

Hours and expectations are super flexible - if you're in the zone and feel like smashing something out, great, work hard. If you're too tired to do a full day, no worries. 

""We want this to be the last place you'll ever work"" and ""Creating a great environment where people can do...","Someone keeps completing my rubix cube for me; I mean, it's fine, but shuffling them again is a hassle."
"164","Feb 18, 2017","intern","4.0","Former Employee - Anonymous Employee in Melbourne","People are really friendly and open-minded, i like to work there","i am not too sure about the cons. Maybe ppl are not that ambitious."
